//,x,radian,,y,radian,,z,radian,,velocity(m/s),,acceleration(m/(s^2)),,time,diff(nano,seconds)
-0.00257,0.00797,0.00198,0.0015577,0.0129844,119966999,,,,,,,,,,,
0.01862,0.00174,-0.04009,0.0039599,0.033005,119978693,,,,,,,,,,,
0.0428,0.00115,-0.01906,0.0026721,0.0222722,119973041,,,,,,,,,,,
-0.02426,0.02732,-0.00784,0.0060724,0.0506136,119974727,,,,,,,,,,,
0.01451,-0.00383,0.00638,0.0043115,0.0359376,119972350,,,,,,,,,,,
0.02968,-0.03168,-0.00205,0.0027354,0.0227996,119973957,,,,,,,,,,,
0.02235,0.03948,-0.0044,0.0059661,0.0497288,119973497,,,,,,,,,,,
-0.02411,-0.01981,0.01041,0.0063988,0.0533343,119975087,,,,,,,,,,,
0.03041,0.03963,0.01898,0.006761,0.0563543,119972292,,,,,,,,,,,
-0.02816,0.00373,-0.02367,0.0067374,0.0561382,120014777,,,,,,,,,,,
0.04535,-0.03532,-0.01849,0.0069528,0.0579678,119943340,,,,,,,,,,,
0.00696,-0.05198,-0.00235,0.0037392,0.0311698,119963814,,,,,,,,,,,
-0.04896,0.02343,-0.00923,0.0078468,0.0654041,119973851,,,,,,,,,,,
0.00638,0.05876,-0.00249,0.0055006,0.0458482,119973992,,,,,,,,,,,
-0.00879,0.00218,0.00733,0.0049507,0.0412644,119974189,,,,,,,,,,,
-0.02551,0.00093,0.01766,0.001641,0.0136776,119974717,,,,,,,,,,,
-0.00953,-0.02303,0.00139,0.0027574,0.0229829,119973988,,,,,,,,,,,
-0.00125,-0.00735,0.00462,0.0015025,0.0125238,119974386,,,,,,,,,,,
-0.0052,0.05949,0.03357,0.0060801,0.0506785,119974679,,,,,,,,,,,
-0.00139,0.00643,-0.01561,0.0060384,0.0503304,119974549,,,,,,,,,,,
0.01371,-0.01072,-0.0209,0.0019554,0.0162986,119974633,,,,,,,,,,,
0.02455,-0.04524,0.00887,0.003905,0.0325482,119975488,,,,,,,,,,,
-0.04456,0.03194,-0.0077,0.0087448,0.0728892,119973870,,,,,,,,,,,
0.03335,0.02248,0.01107,0.0067256,0.0560585,119974775,,,,,,,,,,,
0.00396,0.01413,0.03503,0.0032366,0.0269767,119975728,,,,,,,,,,,
-0.00784,-0.02244,-0.00879,0.0048582,0.0404932,119974398,,,,,,,,,,,
0.00872,-0.09536,-0.02257,0.0063372,0.0528205,119975430,,,,,,,,,,,
-0.04749,-0.03307,-0.00923,0.0070811,0.0590214,119974847,,,,,,,,,,,
-0.03314,0.08919,0.03592,0.0109273,0.0910688,119989450,,,,,,,,,,,
0.03645,0.01854,-0.03719,0.0102694,0.0856,119969722,,,,,,,,,,,
0.06577,-0.03221,-0.02104,0.0050673,0.0422388,119966948,,,,,,,,,,,
-0.01554,0.04828,0.01004,0.0098818,0.0823657,119975004,,,,,,,,,,,
-0.06614,0.07961,0.02625,0.0051414,0.0428539,119975658,,,,,,,,,,,
0.04544,-0.0146,0.0107,0.0122408,0.1020274,119975529,,,,,,,,,,,
0.04562,-0.03905,0.02226,0.002254,0.0187857,119983281,,,,,,,,,,,
-0.02052,-0.02757,0.00843,0.0057133,0.047623,119968950,,,,,,,,,,,
-0.00967,0.01566,0.02396,0.0039349,0.0327974,119975394,,,,,,,,,,,
-0.06545,0.07811,0.01532,0.0070159,0.0584776,119975601,,,,,,,,,,,
0.02442,0.01091,0.01217,0.009357,0.0779922,119973320,,,,,,,,,,,
0.05817,0.00534,-0.01621,0.0037047,0.030876,119986953,,,,,,,,,,,
0.01767,-0.00728,0.01232,0.0042612,0.0355199,119966320,,,,,,,,,,,
-0.00572,0.02146,-0.00374,0.0033662,0.0280571,119976504,,,,,,,,,,,
-0.01913,0.04608,-0.03269,0.0033589,0.0279963,119977533,,,,,,,,,,,
0.01261,0.01471,0.01195,0.0052607,0.0438482,119975798,,,,,,,,,,,
0.0277,0.02094,0.00271,0.0015637,0.0130337,119976318,,,,,,,,,,,
0.028,-0.03021,0.0055,0.0042702,0.0355917,119976234,,,,,,,,,,,
-0.01849,0.0241,-0.00848,0.0060708,0.0505903,119998377,,,,,,,,,,,
-0.02675,0.03641,0.03951,0.0041866,0.0349017,119954954,,,,,,,,,,,
0.02618,-0.00676,0.0066,0.0063195,0.052674,119973216,,,,,,,,,,,
0.0219,-0.03868,-0.00103,0.0027584,0.0229903,119983108,,,,,,,,,,,
0.01921,-0.03316,0.03945,0.0034121,0.0284412,119971471,,,,,,,,,,,
-0.10209,0.01867,-0.04742,0.0131642,0.1097217,119978436,,,,,,,,,,,
0.03423,0.04549,-0.02829,0.0116891,0.0974279,119976926,,,,,,,,,,,
0.0258,-0.01035,-0.01055,0.0049342,0.0411261,119976915,,,,,,,,,,,
-0.06515,-0.02288,-0.01649,0.0076683,0.063915,119976968,,,,,,,,,,,
-0.02455,-0.04861,0.00051,0.0042494,0.0354184,119977457,,,,,,,,,,,
-0.04436,0.02418,-0.00638,0.0063133,0.0526226,119973495,,,,,,,,,,,
0.02486,0.03776,-0.00917,0.0058837,0.0490372,119984132,,,,,,,,,,,
0.05917,-0.00185,-0.02412,0.0045422,0.0378615,119969845,,,,,,,,,,,
0.01493,-0.04599,0.0112,0.0059824,0.0498539,119998038,,,,,,,,,,,
-0.01253,0.03934,0.03467,0.0077245,0.0643925,119959845,,,,,,,,,,,
-0.03774,0.07371,0.01048,0.0040849,0.0340472,119977608,,,,,,,,,,,
0.00997,0.0076,0,0.0068509,0.0571019,119977632,,,,,,,,,,,
-0.00667,0.00343,-0.01532,0.0019168,0.0159761,119977532,,,,,,,,,,,
0.01714,-0.03423,0.00161,0.0039728,0.0331141,119971709,,,,,,,,,,,
0.02783,0.00789,-0.01186,0.003792,0.0316041,119983406,,,,,,,,,,,
0.02082,0.04977,-0.00103,0.0036524,0.0304433,119973230,,,,,,,,,,,
0.00029,0.00636,-0.00689,0.0040318,0.0336037,119982246,,,,,,,,,,,
0.04465,0.0101,-0.00755,0.0037111,0.030933,119973690,,,,,,,,,,,
0.01114,-0.01262,0.04104,0.005272,0.0439397,119982050,,,,,,,,,,,
-0.0011,-0.01936,0.01187,0.0026959,0.0224695,119978480,,,,,,,,,,,
0.01026,0.06514,0.00403,0.0071364,0.0594815,119977479,,,,,,,,,,,
-0.04625,0.00541,-0.02485,0.0072636,0.0605414,119978106,,,,,,,,,,,
-0.01164,-0.0124,0.02358,0.0051779,0.0431558,119980487,,,,,,,,,,,
0.00769,0.01529,-0.00183,0.003523,0.0293655,119969736,,,,,,,,,,,
-0.03796,0.03318,-0.01151,0.0041653,0.0347155,119984172,,,,,,,,,,,
-0.03033,0.08063,0.03135,0.0053677,0.0447413,119972355,,,,,,,,,,,
0.00279,-0.03507,0.01173,0.0101632,0.0847079,119979120,,,,,,,,,,,
0.04803,-0.04145,-0.0407,0.0057964,0.0483116,119979013,,,,,,,,,,,
0.05593,-0.07413,-0.01305,0.003628,0.0302375,119984163,,,,,,,,,,,
-0.01495,-0.00742,0.01788,0.0085124,0.0709497,119978597,,,,,,,,,,,
-0.06349,0.04202,-0.01179,0.006282,0.0523578,119982223,,,,,,,,,,,
-0.07139,-0.00903,0.00938,0.0046534,0.0387867,119974348,,,,,,,,,,,
-0.04053,-0.01724,-0.00814,0.0030355,0.0253001,119978965,,,,,,,,,,,
0.00447,-0.01885,0.00396,0.0038863,0.0323931,119973010,,,,,,,,,,,
-0.0675,0.00159,-0.03599,0.0070684,0.0589117,119983622,,,,,,,,,,,
-0.014,0.05027,0.01921,0.0075829,0.0632006,119981934,,,,,,,,,,,
0.05377,-0.03005,-0.01626,0.0092453,0.0770635,119970024,,,,,,,,,,,
0.05233,-0.09449,-0.02279,0.0053994,0.0450006,119984998,,,,,,,,,,,
0.01488,-0.07045,0.01612,0.0049276,0.0410701,119978979,,,,,,,,,,,
-0.07073,0.01435,-0.06486,0.0121005,0.1008547,119979122,,,,,,,,,,,
0.0022,0.00812,0.00682,0.0085385,0.0711661,119979101,,,,,,,,,,,
-0.01766,-0.02867,0.02653,0.0038526,0.0321103,119979677,,,,,,,,,,,
-0.00601,-0.03139,0.00447,0.0020916,0.0174328,119978580,,,,,,,,,,,
0.01568,-0.04024,0.01121,0.0020314,0.016932,119974761,,,,,,,,,,,
-0.00359,0.00438,-0.00337,0.0042286,0.0352433,119984230,,,,,,,,,,,
-0.04344,0.02511,0.01069,0.0039231,0.0327001,119973394,,,,,,,,,,,
0.0107,0.00233,-0.0326,0.0060815,0.0506879,119979204,,,,,,,,,,,
0.06376,-0.0242,0.01466,0.0063216,0.0526868,119985359,,,,,,,,,,,
-0.03569,0.0326,-0.0129,0.0098184,0.0818338,119979655,,,,,,,,,,,
0.00403,0.06279,0.04456,0.0063429,0.0528667,119979600,,,,,,,,,,,
-0.00506,0.0164,0.0384,0.0039736,0.0331189,119979508,,,,,,,,,,,
0.01443,-0.0069,-0.00498,0.0044145,0.0367945,119977632,,,,,,,,,,,
0.00249,-0.02953,-0.0487,0.0042218,0.035186,119986310,,,,,,,,,,,
0.01216,0.02811,-0.01033,0.0058281,0.0485792,119971655,,,,,,,,,,,
-0.02008,-0.00398,0.02624,0.0048645,0.0405431,119983377,,,,,,,,,,,
0.00154,0.01346,-0.01201,0.00394,0.0328404,119974905,,,,,,,,,,,
0.01187,-0.00903,-0.00198,0.002226,0.0185524,119984968,,,,,,,,,,,
0.0387,-0.03373,0.01715,0.0034319,0.0286039,119979682,,,,,,,,,,,
0.00352,0.01713,-0.02558,0.0062652,0.0522183,119980482,,,,,,,,,,,
-0.03518,0.0378,-0.01275,0.0038097,0.0317531,119979765,,,,,,,,,,,
0.03811,-0.00515,0.01129,0.0073584,0.06133,119980186,,,,,,,,,,,
0.03304,-0.01811,-0.00498,0.0017846,0.0148747,119977876,,,,,,,,,,,
-0.04105,-0.02069,0.00029,0.006194,0.0516239,119982997,,,,,,,,,,,
-0.01458,-0.02178,0.043,0.0041889,0.0349146,119976282,,,,,,,,,,,
-0.04468,0.0361,0.00513,0.006287,0.0524003,119980030,,,,,,,,,,,
0.00681,0.03346,0.01304,0.0043481,0.0362403,119979405,,,,,,,,,,,
0.0011,0.01054,-0.03408,0.0043932,0.0366145,119985054,,,,,,,,,,,
0.02221,-0.04898,-0.0044,0.0058155,0.0484701,119980320,,,,,,,,,,,
-0.03291,0.01896,0.00858,0.0073714,0.0614384,119980694,,,,,,,,,,,
-0.07696,0.01677,0.0527,0.0051994,0.0433358,119980470,,,,,,,,,,,
0.05409,0.10259,0.06853,0.0131228,0.1093749,119980344,,,,,,,,,,,
0.10571,0.14679,-0.05135,0.0114857,0.095731,119979070,,,,,,,,,,,
0.32467,0.03707,-0.27923,0.0278812,0.2323764,119982877,,,,,,,,,,,
