-0.01209,-0.00705,0.00769,0
-0.00257,0.00797,0.00198,119966999
0.01862,0.00174,-0.04009,119978693
0.0428,0.00115,-0.01906,119973041
-0.02426,0.02732,-0.00784,119974727
0.01451,-0.00383,0.00638,119972350
0.02968,-0.03168,-0.00205,119973957
0.02235,0.03948,-0.0044,119973497
-0.02411,-0.01981,0.01041,119975087
0.03041,0.03963,0.01898,119972292
-0.02816,0.00373,-0.02367,120014777
0.04535,-0.03532,-0.01849,119943340
0.00696,-0.05198,-0.00235,119963814
-0.04896,0.02343,-0.00923,119973851
0.00638,0.05876,-0.00249,119973992
-0.00879,0.00218,0.00733,119974189
-0.02551,0.00093,0.01766,119974717
-0.00953,-0.02303,0.00139,119973988
-0.00125,-0.00735,0.00462,119974386
-0.0052,0.05949,0.03357,119974679
-0.00139,0.00643,-0.01561,119974549
0.01371,-0.01072,-0.0209,119974633
0.02455,-0.04524,0.00887,119975488
-0.04456,0.03194,-0.0077,119973870
0.03335,0.02248,0.01107,119974775
0.00396,0.01413,0.03503,119975728
-0.00784,-0.02244,-0.00879,119974398
0.00872,-0.09536,-0.02257,119975430
-0.04749,-0.03307,-0.00923,119974847
-0.03314,0.08919,0.03592,119989450
0.03645,0.01854,-0.03719,119969722
0.06577,-0.03221,-0.02104,119966948
-0.01554,0.04828,0.01004,119975004
-0.06614,0.07961,0.02625,119975658
0.04544,-0.0146,0.0107,119975529
0.04562,-0.03905,0.02226,119983281
-0.02052,-0.02757,0.00843,119968950
-0.00967,0.01566,0.02396,119975394
-0.06545,0.07811,0.01532,119975601
0.02442,0.01091,0.01217,119973320
0.05817,0.00534,-0.01621,119986953
0.01767,-0.00728,0.01232,119966320
-0.00572,0.02146,-0.00374,119976504
-0.01913,0.04608,-0.03269,119977533
0.01261,0.01471,0.01195,119975798
0.0277,0.02094,0.00271,119976318
0.028,-0.03021,0.0055,119976234
-0.01849,0.0241,-0.00848,119998377
-0.02675,0.03641,0.03951,119954954
0.02618,-0.00676,0.0066,119973216
0.0219,-0.03868,-0.00103,119983108
0.01921,-0.03316,0.03945,119971471
-0.10209,0.01867,-0.04742,119978436
0.03423,0.04549,-0.02829,119976926
0.0258,-0.01035,-0.01055,119976915
-0.06515,-0.02288,-0.01649,119976968
-0.02455,-0.04861,0.00051,119977457
-0.04436,0.02418,-0.00638,119973495
0.02486,0.03776,-0.00917,119984132
0.05917,-0.00185,-0.02412,119969845
0.01493,-0.04599,0.0112,119998038
-0.01253,0.03934,0.03467,119959845
-0.03774,0.07371,0.01048,119977608
0.00997,0.0076,0,119977632
-0.00667,0.00343,-0.01532,119977532
0.01714,-0.03423,0.00161,119971709
0.02783,0.00789,-0.01186,119983406
0.02082,0.04977,-0.00103,119973230
0.00029,0.00636,-0.00689,119982246
0.04465,0.0101,-0.00755,119973690
0.01114,-0.01262,0.04104,119982050
-0.0011,-0.01936,0.01187,119978480
0.01026,0.06514,0.00403,119977479
-0.04625,0.00541,-0.02485,119978106
-0.01164,-0.0124,0.02358,119980487
0.00769,0.01529,-0.00183,119969736
-0.03796,0.03318,-0.01151,119984172
-0.03033,0.08063,0.03135,119972355
0.00279,-0.03507,0.01173,119979120
0.04803,-0.04145,-0.0407,119979013
0.05593,-0.07413,-0.01305,119984163
-0.01495,-0.00742,0.01788,119978597
-0.06349,0.04202,-0.01179,119982223
-0.07139,-0.00903,0.00938,119974348
-0.04053,-0.01724,-0.00814,119978965
0.00447,-0.01885,0.00396,119973010
-0.0675,0.00159,-0.03599,119983622
-0.014,0.05027,0.01921,119981934
0.05377,-0.03005,-0.01626,119970024
0.05233,-0.09449,-0.02279,119984998
0.01488,-0.07045,0.01612,119978979
-0.07073,0.01435,-0.06486,119979122
0.0022,0.00812,0.00682,119979101
-0.01766,-0.02867,0.02653,119979677
-0.00601,-0.03139,0.00447,119978580
0.01568,-0.04024,0.01121,119974761
-0.00359,0.00438,-0.00337,119984230
-0.04344,0.02511,0.01069,119973394
0.0107,0.00233,-0.0326,119979204
0.06376,-0.0242,0.01466,119985359
-0.03569,0.0326,-0.0129,119979655
0.00403,0.06279,0.04456,119979600
-0.00506,0.0164,0.0384,119979508
0.01443,-0.0069,-0.00498,119977632
0.00249,-0.02953,-0.0487,119986310
0.01216,0.02811,-0.01033,119971655
-0.02008,-0.00398,0.02624,119983377
0.00154,0.01346,-0.01201,119974905
0.01187,-0.00903,-0.00198,119984968
0.0387,-0.03373,0.01715,119979682
0.00352,0.01713,-0.02558,119980482
-0.03518,0.0378,-0.01275,119979765
0.03811,-0.00515,0.01129,119980186
0.03304,-0.01811,-0.00498,119977876
-0.04105,-0.02069,0.00029,119982997
-0.01458,-0.02178,0.043,119976282
-0.04468,0.0361,0.00513,119980030
0.00681,0.03346,0.01304,119979405
0.0011,0.01054,-0.03408,119985054
0.02221,-0.04898,-0.0044,119980320
-0.03291,0.01896,0.00858,119980694
-0.07696,0.01677,0.0527,119980470
0.05409,0.10259,0.06853,119980344
0.10571,0.14679,-0.05135,119979070
0.32467,0.03707,-0.27923,119982877
0.13215,0.63167,-0.42826,119977137
0.67315,0.00635,-0.00908,119980195
-0.11426,0.25453,0.16454,119984402
-0.54852,0.0677,0.15772,119980891
-0.38723,0.04121,0.1126,119989394
0.13991,-0.05814,0.06508,119972164
0.03287,0.04779,0.02328,119981064
-0.07044,-0.05169,0.05277,119981649
-0.00176,-0.09136,0.08101,119980445
0.04061,-0.0824,-0.04412,119981478
-0.00513,-0.06719,-0.04498,119978619
-0.10634,0.0065,-0.04353,119983724
-0.12694,0.0183,-0.00388,119981190
-0.20625,0.01068,0.02118,119981374
-0.07505,-0.01006,-0.03833,119980760
0.01524,-0.0511,0.00872,119981203
-0.03606,0.06338,0.01876,119981547
0.02184,-0.00977,0.08172,119981563
0.03195,-0.06267,0.06544,119980834
0.05592,-0.06891,-0.04258,119982744
0.09734,0.10136,-0.12219,119981329
-0.03914,0.01317,-0.05196,119981043
-0.2003,-0.05997,0.0033,119982062
-0.16468,-0.05733,0.00967,119982025
-0.04016,-0.08863,0.01554,119980976
0.00938,0.02087,0.0137,119982174
0.0601,0.03362,0.0151,119982274
0.04427,-0.0275,0.10481,119981186
-0.00352,-0.00588,0.05292,119982064
-0.04288,0.03927,-0.03042,119981474
-0.01708,0.03421,-0.00572,119982282
-0.08385,0.02783,-0.07989,119982056
-0.09521,-0.05606,-0.06668,119985613
-0.01568,-0.12219,-0.03247,119978585
0.01224,-0.03021,-0.03313,119981519
0.03049,0.01911,-0.07241,119982113
0.01349,-0.09112,0.02382,119982742
-0.06288,-0.06041,0.03613,119982195
-0.04119,-0.08863,-0.05167,119982170
-0.01004,0.07321,-0.05087,119983000
-0.03987,0.07929,0.02023,119982305
-0.11295,0.05298,-0.02096,119981945
-0.04009,-0.05418,-0.01862,119982305
0.0041,-0.03703,-0.00843,119982793
0.11082,0.09512,0.06076,119982171
0.16491,0.05656,0.04192,119982659
0.17341,-0.01065,0.07234,119982411
0.07935,0.05266,0.03971,119984077
0.01752,0.06969,-0.05732,119981663
0.07659,0.0326,-0.0417,119982576
-0.13875,-0.02516,-0.03152,119983255
-0.16896,-0.00024,-0.03102,119982925
-0.05988,-0.0964,-0.07681,119981874
-0.0645,0.10955,-0.0494,119982794
-0.20553,-0.01388,-0.16086,119986818
-0.25574,-0.03766,-0.11908,119984910
-0.33788,0.11776,-0.11786,119977273
-0.39256,0.04029,-0.14212,119983884
-0.44789,0.23774,-0.25198,119982257
-0.27331,0.01245,-0.24691,119982343
-0.21913,0.08228,-0.2579,119983889
-0.1303,-0.01996,-0.10933,119982790
-0.17334,-0.00376,-0.03761,119984274
-0.07483,-0.03637,-0.01165,119982806
-0.00557,-0.08526,0.00623,119982865
-0.01143,-0.07177,0.00535,119983336
0.06069,-0.02912,0.04361,119983327
0.07356,0.05917,0.01533,119981612
0.09667,-0.03102,0.03994,119985160
0.1438,0.04794,0.102,119981682
0.24576,0.15771,0.1567,119985227
0.15311,0.15199,0.1809,119982965
0.17291,0.12442,0.41381,119984718
0.21256,0.14811,0.42086,119983270
0.36382,0.0592,0.25579,119983189
0.32866,0.0315,0.10269,119983558
0.24071,-0.10271,0.22759,119984150
0.05676,-0.05216,0.21046,119980059
0.01972,0.0123,0.17664,119986887
0.01951,-0.00992,0.09372,119982022
0.05197,0.05839,0.2103,119995371
-0.07472,-0.15445,0.0822,119973193
-0.08391,-0.13586,0.02465,119994560
0.00667,-0.1167,0.02441,119974441
0.00594,-0.02839,-0.07667,119985068
-0.0571,0.08229,-0.10466,119983286
-0.02529,-0.10197,-0.02697,119983316
-0.12832,-0.1658,-0.12296,119980718
-0.08502,-0.01453,-0.09337,119988038
0.03671,0.04424,-0.05467,119984421
0.15377,0.21242,0.10508,119980931
0.16368,0.08002,0.04794,119986810
0.26637,0.0713,0.13729,119984362
0.14879,0.12605,0.16726,119983838
0.12115,-0.0289,0.09286,119984103
0.17172,0.02928,0.09516,119978468
0.13787,0.02637,0.10012,119990003
0.06211,0.00746,0.10325,119979899
0.12351,0.03707,0.16008,119989266
0.09328,0.14834,0.16244,119981062
-0.031,-0.08416,0.07,119987548
-0.00491,0.02576,0.0416,119988723
0.07242,0.02527,-0.04266,119980611
0.11324,0.10721,-0.0431,119984093
0.12181,0.07745,0.07117,119984404
-0.02916,-0.03394,0.12088,119978339
-0.00352,-0.00185,0.10584,119991121
0.044,-0.00046,0.04576,119979546
-0.00381,0.01977,0.01869,119992005
