//radianX,radianY,radianZ
0.123,1.016,1.162
0.095,1.052,1.147
0.061,1.068,1.034
0.03,1.082,0.881
-0.036,1.104,0.717
-0.116,1.143,0.549
-0.172,1.165,0.355
-0.215,1.127,0.16
-0.29,1.083,0.024
-0.365,1.062,-0.056
-0.391,1.089,-0.113
-0.365,1.137,-0.162
-0.337,1.112,-0.145
-0.352,1.04,-0.076
-0.371,1.058,-0.083
-0.359,1.151,-0.114
-0.322,1.147,-0.113
-0.404,1.057,-0.084
-0.516,1.017,-0.023
-0.535,1.022,0.044
-0.479,1.048,0.085
-0.412,1.006,0.124
-0.375,0.956,0.194
-0.372,0.927,0.198
-0.372,0.94,0.161
-0.353,0.938,0.136
-0.37,0.903,0.111
-0.412,0.857,0.072
-0.364,0.801,0.035
-0.263,0.809,0.049
-0.278,0.814,0.143
-0.36,0.784,0.269
-0.374,0.75,0.287
-0.26,0.8,0.283
-0.194,0.809,0.235
-0.245,0.784,0.213
-0.275,0.757,0.195
-0.256,0.75,0.186
-0.213,0.755,0.218
-0.219,0.769,0.279
-0.213,0.782,0.343
-0.195,0.805,0.377
-0.194,0.82,0.367
-0.186,0.857,0.347
-0.242,0.844,0.323
-0.299,0.825,0.322
-0.326,0.818,0.335
-0.362,0.79,0.402
-0.375,0.779,0.487
-0.379,0.74,0.571
-0.407,0.714,0.628
-0.447,0.714,0.652
-0.469,0.722,0.654
-0.513,0.711,0.652
-0.476,0.702,0.639
-0.398,0.717,0.647
-0.397,0.711,0.643
-0.395,0.708,0.663
-0.445,0.716,0.711
-0.432,0.706,0.756
-0.403,0.715,0.745
-0.393,0.733,0.73
-0.397,0.763,0.727
-0.388,0.763,0.7
-0.362,0.772,0.684
-0.358,0.756,0.677
-0.348,0.767,0.682
-0.346,0.78,0.691
-0.355,0.785,0.701
-0.37,0.815,0.712
-0.414,0.846,0.707
-0.406,0.876,0.711
-0.378,0.892,0.662
-0.334,0.9,0.608
-0.282,0.911,0.599
-0.249,0.907,0.585
-0.186,0.923,0.605
-0.197,0.947,0.639
-0.18,0.998,0.669
-0.181,1.012,0.673
-0.247,1.012,0.67
-0.262,1.031,0.665
-0.306,1.031,0.649
-0.352,1.017,0.66
-0.345,0.996,0.694
-0.309,0.985,0.723
-0.302,0.975,0.757
-0.309,0.965,0.818
-0.331,0.984,0.862
-0.339,0.999,0.865
-0.333,1.021,0.864
-0.347,0.979,0.838
